,Frequ̻ncia,Porcentagem,Contagem
"(6.566, 6.698]",56,25.225225225225223,||||||||||||||||||||||||||||||||||||||||||||||||||||||||
"(6.698, 6.83]",47,21.17117117117117,|||||||||||||||||||||||||||||||||||||||||||||||
"(6.434, 6.566]",38,17.117117117117118,||||||||||||||||||||||||||||||||||||||
"(6.962, 7.094]",24,10.81081081081081,||||||||||||||||||||||||
"(6.83, 6.962]",22,9.90990990990991,||||||||||||||||||||||
"(6.302, 6.434]",11,4.954954954954955,|||||||||||
"(6.167999999999999, 6.302]",7,3.153153153153153,|||||||
"(7.094, 7.226]",7,3.153153153153153,|||||||
"(7.226, 7.358]",7,3.153153153153153,|||||||
"(7.358, 7.49]",3,1.3513513513513513,|||
