,POSTO,MUNICÍPIO,ESTADO,COMBUSTÍVEL,BANDEIRA,PREÇO VENDA,REGIÃO
156,3,HORTOLANDIA,SÃO PAULO,DIESEL,OUTRO,6.199000000000001,INTERIOR
157,4,HORTOLANDIA,SÃO PAULO,DIESEL,OUTRO,6.199000000000001,INTERIOR
158,5,HORTOLANDIA,SÃO PAULO,DIESEL,OUTRO,6.199000000000001,INTERIOR
159,6,HORTOLANDIA,SÃO PAULO,DIESEL,OUTRO,6.4990000000000006,INTERIOR
160,7,HORTOLANDIA,SÃO PAULO,DIESEL,NACIONAL,6.599000000000001,INTERIOR
161,1,AMERICANA,SÃO PAULO,DIESEL,OUTRO,6.399000000000001,INTERIOR
162,2,AMERICANA,SÃO PAULO,DIESEL,NACIONAL,6.449000000000001,INTERIOR
163,3,AMERICANA,SÃO PAULO,DIESEL,NACIONAL,6.4990000000000006,INTERIOR
164,1,DRACENA,SÃO PAULO,DIESEL,OUTRO,6.49,INTERIOR
165,2,DRACENA,SÃO PAULO,DIESEL,OUTRO,6.55,INTERIOR
166,3,DRACENA,SÃO PAULO,DIESEL,NACIONAL,6.59,INTERIOR
167,4,DRACENA,SÃO PAULO,DIESEL,OUTRO,6.59,INTERIOR
168,1,MATAO,SÃO PAULO,DIESEL,OUTRO,6.29,INTERIOR
169,2,MATAO,SÃO PAULO,DIESEL,OUTRO,6.39,INTERIOR
170,3,MATAO,SÃO PAULO,DIESEL,OUTRO,6.4,INTERIOR
171,4,MATAO,SÃO PAULO,DIESEL,OUTRO,6.69,INTERIOR
172,5,MATAO,SÃO PAULO,DIESEL,OUTRO,6.75,INTERIOR
173,6,MATAO,SÃO PAULO,DIESEL,NACIONAL,6.799000000000001,INTERIOR
174,7,MATAO,SÃO PAULO,DIESEL,OUTRO,6.8,INTERIOR
175,1,BAURU,SÃO PAULO,DIESEL,OUTRO,6.33,INTERIOR
176,2,BAURU,SÃO PAULO,DIESEL,OUTRO,6.399000000000001,INTERIOR
177,3,BAURU,SÃO PAULO,DIESEL,OUTRO,6.49,INTERIOR
178,4,BAURU,SÃO PAULO,DIESEL,OUTRO,6.4990000000000006,INTERIOR
179,5,BAURU,SÃO PAULO,DIESEL,NACIONAL,6.4990000000000006,INTERIOR
180,6,BAURU,SÃO PAULO,DIESEL,OUTRO,6.57,INTERIOR
181,7,BAURU,SÃO PAULO,DIESEL,OUTRO,6.57,INTERIOR
182,8,BAURU,SÃO PAULO,DIESEL,OUTRO,6.699000000000001,INTERIOR
183,1,MOGI GUACU,SÃO PAULO,DIESEL,OUTRO,6.39,INTERIOR
184,2,MOGI GUACU,SÃO PAULO,DIESEL,OUTRO,6.59,INTERIOR
185,3,MOGI GUACU,SÃO PAULO,DIESEL,NACIONAL,6.659000000000001,INTERIOR
186,4,MOGI GUACU,SÃO PAULO,DIESEL,NACIONAL,6.797000000000001,INTERIOR
187,5,MOGI GUACU,SÃO PAULO,DIESEL,OUTRO,6.89,INTERIOR
188,1,DIADEMA,SÃO PAULO,DIESEL,OUTRO,5.97,INTERIOR
189,2,DIADEMA,SÃO PAULO,DIESEL,OUTRO,6.09,INTERIOR
190,3,DIADEMA,SÃO PAULO,DIESEL,OUTRO,6.1690000000000005,INTERIOR
191,4,DIADEMA,SÃO PAULO,DIESEL,OUTRO,6.22,INTERIOR
192,5,DIADEMA,SÃO PAULO,DIESEL,NACIONAL,6.26,INTERIOR
193,6,DIADEMA,SÃO PAULO,DIESEL,NACIONAL,6.699000000000001,INTERIOR
194,1,AVARE,SÃO PAULO,DIESEL,OUTRO,6.399000000000001,INTERIOR
195,2,AVARE,SÃO PAULO,DIESEL,OUTRO,6.5,INTERIOR
196,3,AVARE,SÃO PAULO,DIESEL,NACIONAL,6.55,INTERIOR
197,4,AVARE,SÃO PAULO,DIESEL,NACIONAL,6.66,INTERIOR
198,5,AVARE,SÃO PAULO,DIESEL,OUTRO,6.69,INTERIOR
199,1,JOSE BONIFACIO,SÃO PAULO,DIESEL,OUTRO,6.19,INTERIOR
200,2,JOSE BONIFACIO,SÃO PAULO,DIESEL,OUTRO,6.199000000000001,INTERIOR
201,3,JOSE BONIFACIO,SÃO PAULO,DIESEL,OUTRO,6.2490000000000006,INTERIOR
202,4,JOSE BONIFACIO,SÃO PAULO,DIESEL,OUTRO,6.39,INTERIOR
203,5,JOSE BONIFACIO,SÃO PAULO,DIESEL,OUTRO,6.42,INTERIOR
204,6,JOSE BONIFACIO,SÃO PAULO,DIESEL,OUTRO,6.599000000000001,INTERIOR
205,7,JOSE BONIFACIO,SÃO PAULO,DIESEL,NACIONAL,6.629000000000001,INTERIOR
206,8,JOSE BONIFACIO,SÃO PAULO,DIESEL,NACIONAL,6.65,INTERIOR
207,9,JOSE BONIFACIO,SÃO PAULO,DIESEL,NACIONAL,6.65,INTERIOR
208,10,JOSE BONIFACIO,SÃO PAULO,DIESEL,OUTRO,6.8,INTERIOR
209,1,BOTUCATU,SÃO PAULO,DIESEL,NACIONAL,6.349000000000001,INTERIOR
210,2,BOTUCATU,SÃO PAULO,DIESEL,OUTRO,6.379000000000001,INTERIOR
211,3,BOTUCATU,SÃO PAULO,DIESEL,NACIONAL,6.399000000000001,INTERIOR
212,4,BOTUCATU,SÃO PAULO,DIESEL,OUTRO,6.45,INTERIOR
213,1,CAMPINAS,SÃO PAULO,DIESEL,OUTRO,5.949,INTERIOR
214,2,CAMPINAS,SÃO PAULO,DIESEL,OUTRO,5.999,INTERIOR
215,3,CAMPINAS,SÃO PAULO,DIESEL,OUTRO,6.097,INTERIOR
216,4,CAMPINAS,SÃO PAULO,DIESEL,OUTRO,6.199000000000001,INTERIOR
217,5,CAMPINAS,SÃO PAULO,DIESEL,NACIONAL,6.199000000000001,INTERIOR
218,6,CAMPINAS,SÃO PAULO,DIESEL,NACIONAL,6.199000000000001,INTERIOR
219,7,CAMPINAS,SÃO PAULO,DIESEL,OUTRO,6.199000000000001,INTERIOR
220,8,CAMPINAS,SÃO PAULO,DIESEL,OUTRO,6.25,INTERIOR
221,9,CAMPINAS,SÃO PAULO,DIESEL,OUTRO,6.279000000000001,INTERIOR
222,10,CAMPINAS,SÃO PAULO,DIESEL,NACIONAL,6.299000000000001,INTERIOR
223,11,CAMPINAS,SÃO PAULO,DIESEL,OUTRO,6.299000000000001,INTERIOR
224,12,CAMPINAS,SÃO PAULO,DIESEL,OUTRO,6.299000000000001,INTERIOR
225,13,CAMPINAS,SÃO PAULO,DIESEL,NACIONAL,6.357,INTERIOR
226,14,CAMPINAS,SÃO PAULO,DIESEL,OUTRO,6.399000000000001,INTERIOR
227,15,CAMPINAS,SÃO PAULO,DIESEL,OUTRO,6.399000000000001,INTERIOR
228,16,CAMPINAS,SÃO PAULO,DIESEL,OUTRO,6.4590000000000005,INTERIOR
229,17,CAMPINAS,SÃO PAULO,DIESEL,OUTRO,6.559000000000001,INTERIOR
230,18,CAMPINAS,SÃO PAULO,DIESEL,NACIONAL,6.599000000000001,INTERIOR
231,19,CAMPINAS,SÃO PAULO,DIESEL,NACIONAL,6.87,INTERIOR
232,20,CAMPINAS,SÃO PAULO,DIESEL,NACIONAL,6.9990000000000006,INTERIOR
233,1,BRAGANCA,SÃO PAULO,DIESEL,OUTRO,6.09,INTERIOR
234,2,BRAGANCA,SÃO PAULO,DIESEL,OUTRO,6.296,INTERIOR
235,3,BRAGANCA,SÃO PAULO,DIESEL,NACIONAL,6.299000000000001,INTERIOR
236,4,BRAGANCA,SÃO PAULO,DIESEL,OUTRO,6.33,INTERIOR
237,5,BRAGANCA,SÃO PAULO,DIESEL,OUTRO,6.33,INTERIOR
238,6,BRAGANCA,SÃO PAULO,DIESEL,OUTRO,6.33,INTERIOR
239,7,BRAGANCA,SÃO PAULO,DIESEL,OUTRO,6.59,INTERIOR
240,1,MOGI MIRIM,SÃO PAULO,DIESEL,NACIONAL,6.07,INTERIOR
241,2,MOGI MIRIM,SÃO PAULO,DIESEL,NACIONAL,6.49,INTERIOR
242,1,JUNDIAI,SÃO PAULO,DIESEL,OUTRO,6.299000000000001,INTERIOR
243,2,JUNDIAI,SÃO PAULO,DIESEL,OUTRO,6.45,INTERIOR
244,3,JUNDIAI,SÃO PAULO,DIESEL,NACIONAL,6.4990000000000006,INTERIOR
245,1,IBITINGA,SÃO PAULO,DIESEL,OUTRO,6.289000000000001,INTERIOR
246,2,IBITINGA,SÃO PAULO,DIESEL,OUTRO,6.289000000000001,INTERIOR
247,3,IBITINGA,SÃO PAULO,DIESEL,OUTRO,6.3,INTERIOR
248,4,IBITINGA,SÃO PAULO,DIESEL,OUTRO,6.69,INTERIOR
249,5,IBITINGA,SÃO PAULO,DIESEL,OUTRO,6.99,INTERIOR
250,1,CRUZEIRO,SÃO PAULO,DIESEL,NACIONAL,6.53,INTERIOR
251,2,CRUZEIRO,SÃO PAULO,DIESEL,NACIONAL,6.54,INTERIOR
252,3,CRUZEIRO,SÃO PAULO,DIESEL,OUTRO,6.65,INTERIOR
253,1,CARAGUATATUBA,SÃO PAULO,DIESEL,NACIONAL,6.594000000000001,INTERIOR
254,2,CARAGUATATUBA,SÃO PAULO,DIESEL,NACIONAL,6.599000000000001,INTERIOR
255,3,CARAGUATATUBA,SÃO PAULO,DIESEL,NACIONAL,6.699000000000001,INTERIOR
256,4,CARAGUATATUBA,SÃO PAULO,DIESEL,NACIONAL,6.799000000000001,INTERIOR
257,1,MARILIA,SÃO PAULO,DIESEL,OUTRO,6.299000000000001,INTERIOR
258,2,MARILIA,SÃO PAULO,DIESEL,NACIONAL,6.559000000000001,INTERIOR
259,3,MARILIA,SÃO PAULO,DIESEL,NACIONAL,6.649000000000001,INTERIOR
260,4,MARILIA,SÃO PAULO,DIESEL,NACIONAL,6.759000000000001,INTERIOR
261,5,MARILIA,SÃO PAULO,DIESEL,OUTRO,6.829000000000001,INTERIOR
262,1,CACAPAVA,SÃO PAULO,DIESEL,OUTRO,5.99,INTERIOR
263,2,CACAPAVA,SÃO PAULO,DIESEL,NACIONAL,6.19,INTERIOR
264,3,CACAPAVA,SÃO PAULO,DIESEL,OUTRO,6.2,INTERIOR
265,4,CACAPAVA,SÃO PAULO,DIESEL,NACIONAL,6.78,INTERIOR
269,1,ARARAS,SÃO PAULO,DIESEL,OUTRO,5.999,INTERIOR
270,2,ARARAS,SÃO PAULO,DIESEL,OUTRO,6.299000000000001,INTERIOR
271,3,ARARAS,SÃO PAULO,DIESEL,OUTRO,6.299000000000001,INTERIOR
272,4,ARARAS,SÃO PAULO,DIESEL,NACIONAL,6.299000000000001,INTERIOR
273,5,ARARAS,SÃO PAULO,DIESEL,OUTRO,6.4590000000000005,INTERIOR
274,6,ARARAS,SÃO PAULO,DIESEL,OUTRO,6.4590000000000005,INTERIOR
275,7,ARARAS,SÃO PAULO,DIESEL,OUTRO,6.5760000000000005,INTERIOR
279,1,GARCA,SÃO PAULO,DIESEL,OUTRO,6.39,INTERIOR
280,2,GARCA,SÃO PAULO,DIESEL,OUTRO,6.399000000000001,INTERIOR
281,3,GARCA,SÃO PAULO,DIESEL,NACIONAL,6.64,INTERIOR
282,4,GARCA,SÃO PAULO,DIESEL,OUTRO,6.799000000000001,INTERIOR
283,1,ITU,SÃO PAULO,DIESEL,OUTRO,6.099,INTERIOR
284,2,ITU,SÃO PAULO,DIESEL,OUTRO,6.239000000000001,INTERIOR
285,3,ITU,SÃO PAULO,DIESEL,OUTRO,6.29,INTERIOR
286,4,ITU,SÃO PAULO,DIESEL,NACIONAL,6.299000000000001,INTERIOR
287,5,ITU,SÃO PAULO,DIESEL,OUTRO,6.33,INTERIOR
288,6,ITU,SÃO PAULO,DIESEL,OUTRO,6.39,INTERIOR
289,7,ITU,SÃO PAULO,DIESEL,NACIONAL,6.439000000000001,INTERIOR
290,1,GUARUJA,SÃO PAULO,DIESEL,NACIONAL,6.599000000000001,INTERIOR
291,2,GUARUJA,SÃO PAULO,DIESEL,OUTRO,6.649000000000001,INTERIOR
292,1,BEBEDOURO,SÃO PAULO,DIESEL,OUTRO,6.29,INTERIOR
293,2,BEBEDOURO,SÃO PAULO,DIESEL,OUTRO,6.35,INTERIOR
294,3,BEBEDOURO,SÃO PAULO,DIESEL,OUTRO,6.44,INTERIOR
295,4,BEBEDOURO,SÃO PAULO,DIESEL,OUTRO,6.599000000000001,INTERIOR
296,1,LEME,SÃO PAULO,DIESEL,OUTRO,6.02,INTERIOR
297,2,LEME,SÃO PAULO,DIESEL,OUTRO,6.09,INTERIOR
298,3,LEME,SÃO PAULO,DIESEL,OUTRO,6.098000000000001,INTERIOR
299,4,LEME,SÃO PAULO,DIESEL,OUTRO,6.14,INTERIOR
300,5,LEME,SÃO PAULO,DIESEL,NACIONAL,6.148000000000001,INTERIOR
301,6,LEME,SÃO PAULO,DIESEL,NACIONAL,6.3180000000000005,INTERIOR
302,7,LEME,SÃO PAULO,DIESEL,OUTRO,6.39,INTERIOR
303,8,LEME,SÃO PAULO,DIESEL,NACIONAL,6.4,INTERIOR
304,9,LEME,SÃO PAULO,DIESEL,OUTRO,6.49,INTERIOR
305,10,LEME,SÃO PAULO,DIESEL,OUTRO,6.4990000000000006,INTERIOR
306,1,GUARULHOS,SÃO PAULO,DIESEL,OUTRO,6.189000000000001,INTERIOR
307,2,GUARULHOS,SÃO PAULO,DIESEL,OUTRO,6.199000000000001,INTERIOR
308,3,GUARULHOS,SÃO PAULO,DIESEL,OUTRO,6.199000000000001,INTERIOR
309,4,GUARULHOS,SÃO PAULO,DIESEL,OUTRO,6.199000000000001,INTERIOR
310,5,GUARULHOS,SÃO PAULO,DIESEL,NACIONAL,6.279000000000001,INTERIOR
311,6,GUARULHOS,SÃO PAULO,DIESEL,OUTRO,6.549000000000001,INTERIOR
312,1,BIRIGUI,SÃO PAULO,DIESEL,NACIONAL,6.37,INTERIOR
313,2,BIRIGUI,SÃO PAULO,DIESEL,OUTRO,6.6,INTERIOR
314,3,BIRIGUI,SÃO PAULO,DIESEL,OUTRO,6.7,INTERIOR
315,4,BIRIGUI,SÃO PAULO,DIESEL,OUTRO,6.899000000000001,INTERIOR
